Starting state,Outcome or worse,Distrubtion,Parameter 1,Parameter 2,Parameter 3,Total Prob,Prob at t = 15,Median Time,25th,75th
Outpatient,Death,Gompertz,shape = 0.0237,rate = 0.0299,,"0.029 (0.020, 0.030)","0.012 (0.010, 0.014)","18.50 (15.4, 22.05)","8.68 (7.61, 10.15)","31.32 (26.00, 38.78)"
Urgent Care,Emergency,Log normal,logmean = 0.0297,logsd = 2.10,,"0.094 (0.092, 0.095)","0.084 (0.083, 0.086)","1.03 (1.01, 1.05)","0.25 (0.25, 0.25)","4.24 (4.12, 4.38)"
Urgent Care,Inpatient,Log normal,logmean = 0.124,logsd = 2.28,,"0.027 (0.020, 0.027)","0.024 (0.020, 0.024)","1.13 (0.90, 1.44)","0.24 (0.20, 0.30)","5.28 (4.21, 6.74)"
Urgent Care,Ventilation,Gompertz,shape = 0.0284,rate = 0.0256,,"0.005 (0.000, 0.007)","0.002 (0.000, 0.003)","20.08 (14.80, 25.82)","9.75 (7.14, 13.52)","32.79 (26.10, 39.37)"
Urgent Care,Death,Gompertz,shape = 0.0447,rate = 0.0157,,"0.004 (0.000, 0.005)","0.001 (0.000, 0.002)","24.35 (17.50, 30.59)","13.36 (10.80, 17.87)","35.73 (28.50, 43.37)"
Emergency,Inpatient,Log normal,logmean = 0.3273,logsd = 2.2076,,"0.095 (0.090, 0.097)","0.082 (0.080, 0.083)","1.39 (1.36, 1.41)","0.31 (0.30, 0.32)","6.16 (5.96, 6.35)"
Emergency,Ventilation,Gompertz,shape = 0.0207,rate = 0.0329,,"0.028 (0.020, 0.029)","0.012 (0.010, 0.014)","17.48 (15.20, 20.35)","8.04 (7.63, 9.20)","30.28 (26.10, 36.73)"
Emergency,Death,Gompertz,shape = 0.0269,rate = 0.0272,,"0.025 (0.020, 0.025)","0.010 (0.000, 0.011)","19.40 (16.50, 22.48)","9.31 (8.15, 10.82)","32.09 (27.20, 38.70)"
Inpatient,Ventilation,Generalized gamma,mu = 3.21,sigma = 0.794,Q = 2.01,"0.172 (0.170, 0.174)","0.096 (0.090, 0.099)","12.40 (11.80, 13.11)","4.06 (4.00, 4.18)","25.24 (24.20, 26.81)"
Inpatient,Death,Gamma,shape = 1.49,rate = 0.0748,,"0.141 (0.130, 0.142)","0.067 (0.060, 0.069)","15.70 (15.30, 16.11)","8.03 (7.85, 8.18)","27.31 (26.70, 27.88)"
Ventilation,Death,Gamma,shape = 0.528,rate = 0.0481,,"0.502 (0.443, 0.556)","0.379 (0.332, 0.432)","5.24 (4.95, 5.48)","1.25 (1.00, 1.47)","14.66 (12.86, 21.64)"
