Starting State,First Event,Distribution,Parameter 1,Parameter 2,Parameter 3,Total Probability,Median Time-to-event,25th Percentile Time,75th Percentile Time
Positive Test,Emergency,Log normal,logmean = -2.11,logsd = 0.867,,"17.9 (17.6, 18.3)","3.54 (3.46, 3.63)","2.02 (1.96, 2.07)","6.21 (6.05, 6.38)"
Positive Test,Inpatient,Generalized gamma,mu = -2.30,sigma = 0.0142,Q = -17.8,"4.7 (4.6, 4.8)","5.27 (5.09, 5.47)","2.89 (2.76, 3.02)","8.73 (8.46, 9.02)"
Positive Test,Ventilation,Weibull,shape = 0.583,rate = 7.72,,"0.0 (0.0, 0.0)","2.20 (1.31, 3.70)","1.24 (0.67, 2.20)","3.93 (2.21, 7.07)"
Positive Test,Death,Gompertz,shape = 0.0131,rate = 0.0427,,"0.1 (0.1, 0.1)","7.78 (5.80, 10.41)","3.99 (2.96, 5.38)","15.17 (11.31, 20.53)"
Virtual,Outpatient,Gamma,shape = 0.590,rate = 0.0346,,"10.7 (10.4, 10.9)","7.63 (7.29, 8.00)","1.88 (1.76, 2.02)","20.98 (20.28, 21.75)"
Virtual,Urgent Care,Generalized gamma,mu = 1.01,sigma = 2.14,Q = 0.395,"6.1 (5.9, 6.2)","2.07 (1.79, 2.37)","0.44 (0.39, 0.48)","8.48 (7.77, 9.52)"
Virtual,Emergency,Generalized gamma,mu = -0.237,sigma = 1.94,Q = -0.296,"7.8 (7.6, 7.9)","0.96 (0.86, 1.07)","0.27 (0.25, 0.29)","3.78 (3.56, 4.09)"
Virtual,Inpatient,Weibull,shape = 0.590,rate = 6.14,,"2.3 (2.2, 2.3)","3.30 (3.22, 3.39)","0.74 (0.70, 0.78)","10.68 (10.39, 10.94)"
Virtual,Ventilation,Log normal,logmean = 2.79,logsd = 0.691,,"0.0 (0.0, 0.1)","16.24 (9.10, 27.64)","10.19 (5.39, 18.51)","25.87 (15.34, 50.13)"
Virtual,Death,Weibull,shape = 1.65,rate = 25.6,,"0.3 (0.2, 0.4)","20.46 (17.07, 24.40)","11.99 (8.55, 15.80)","31.18 (28.90, 33.95)"
Outpatient,Urgent Care,Log normal,logmean = 0.607,logsd = 2.35,,"11.1 (11.0, 11.2)","0.54 (0.48, 0.64)","0.11 (0.10, 0.13)","2.66 (2.28, 3.10)"
Outpatient,Emergency,Log normal,logmean = 0.495,logsd = 2.21,,"8.6 (8.5, 8.7)","1.64 (1.41, 1.93)","0.37 (0.31, 0.43)","7.31 (6.22, 8.52)"
Outpatient,Inpatient,Weibull,logmean = 0.466,logsd = 2.28,,"4.8 (4.7, 4.8)","1.59 (1.28, 2.00)","0.34 (0.27, 0.43)","7.40 (5.96, 9.37)"
Outpatient,Ventilation,Log normal,logmean = 0.0913,logsd = 1.95,,"0.5 (0.4, 0.6)","1.10 (0.59, 1.99)","0.29 (0.15, 0.56)","4.08 (2.08, 8.49)"
Outpatient,Death,Gompertz,shape = 0.0105,rate = 0.0477,,"1.2 (0.1, 1.4)","13.52 (10.34, 17.00)","5.85 (4.46, 7.71)","25.37 (20.60, 30.71)"
Urgent Care,Emergency,Generalized gamma,mu = -0.173,sigma = 2.03,Q = -0.296,"7.5 (7.3, 7.6)","1.03 (0.90, 1.17)","0.27 (0.25, 0.29)","4.32 (4.02, 4.79)"
Urgent Care,Inpatient,Gamma,shape = 0.319,rate = 0.0581,,"1.9 (1.8, 1.9)","1.48 (1.40, 1.56)",<0.2,"6.45 (5.65, 7.36)"
Urgent Care,Ventilation,Exponential,,,,"0.0 (0.0, 0.1)","6.93 (1.79, 27.12)","2.88 (0.78, 12.31)","13.86 (3.64, 59.31)"
Urgent Care,Death,Exponential,rate = 0.0409,,,"0.0 (0.0, 0.1)","16.93 (6.50, 46.51)","7.03 (2.80, 18.33)","33.87 (13.48, 88.32)"
Emergency,Inpatient,Generalized gamma,mu = -2.29,sigma = 0.188,Q = -12.90,"8.6 (8.5, 8.7)","0.51 (0.49, 0.52)",<0.2,"2.75 (2.51, 2.88)"
Emergency,Ventilation,Gamma,shape = 0.416,rate = 0.0234,,"0.1 (0.1, 0.2)","6.74 (1.91, 16.60)","1.16 (0.10, 4.89)","22.65 (9.35, 51.49)"
Emergency,Death,Gamma,shape = 0.706,rate = 0.0349,,"0.9 (0.7, 0.1)","11.85 (11.50, 12.17)","3.80 (3.15, 4.39)","27.83 (25.06, 30.7)"
Inpatient,Ventilation,Weibull,shape = 0.655,scale = 6.69,,"5.9 (5.8, 6.1)","3.82 (3.74, 3.91)","1.00 (0.96, 1.04)","11.01 (10.77, 11.24)"
Inpatient,Death,Gompertz,shape = 0.0238,rate = 0.0323,,"11.3 (11.1, 11.5)","17.35 (15.01, 20.49)","8.08 (7.49, 8.80)","29.59 (23.94, 39.92)"
Ventilation,Death,Gamma,shape = 0.528,rate = 0.0481,,"50.2 (44.3, 55.6)","5.24 (4.95, 5.48)","1.25 (1.00, 1.47)","14.66 (12.86, 16.40)"
,,,,,,,,,
