Starting State,First Event,Distribution,Parameter 1,Parameter 2,Parameter 3,Total Probability,Median Time-to-event,25th Percentile Time,75th Percentile Time
Virtual,Death,Exponential,rate = 0.0398,,,"0.008 (0.002, 0.023)","17.41 (5.48, 51.70)","7.23 (2.41, 20.80)","34.82 (11.63, 100.22)"
Outpatient,Urgent Care,Weibull,shape = 0.541,scale = 4.43,,"0.079 (0.060, 0.101)","2.25 (1.26, 3.94)","0.44 (0.20, 1.04)","8.1 (5.07, 13.53)"
Outpatient,Emergency,Log normal,logmean = 0.144,logsd = 2.02,,"0.182 (0.154, 0.211)","1.15 (0.81, 1.67)","0.30 (0.20, 0.41)","4.51 (3.14, 6.33)"
Outpatient,Inpatient,Log normal,logmean = -0.466,logsd = 2.09,,"0.118 (0.097, 0.145)","0.63 (0.40, 0.99)","0.15 (0.09, 0.24)","2.57 (1.54, 4.32)"
Outpatient,Ventilation,Log normal,logmean = 0.438,logsd = 0.0987,,"0.010 (0.005, 0.022)","1.78 (0.31, 6.85)","0.33 (0.01, 2.09)","5.73 (1.69, 17.28)"
Outpatient,Death,Exponential,rate = 0.0600,,,"0.013 (0.007, 0.025)","11.56 (6.35, 21.72)","4.80 (2.48, 9.07)","23.12 (12.31, 44.71)"
Urgent Care,Emergency,Log normal,logmean = -0.474,logsd = 1.71,,"0.302 (0.254, 0.347)","0.62 (0.45, 0.85)","0.20 (0.14, 0.28)","1.97 (1.42, 2.79)"
Urgent Care,Inpatient,Log normal,logmean = -0.950,logsd = 1.59,,"0.177 (0.141, 0.219)","0.39 (0.26, 0.57)","0.13 (0.09, 0.20)","1.13 (0.76, 1.7)"
Urgent Care,Ventilation,NA/No events,NA,,,"0.003 (0.000, 0.020)","11.78 (1.74, 85.28)","4.89 (0.71, 34.47)","23.57 (3.4, 66.09)"
Urgent Care,Death,Exponential,rate = 0.0588,,,,,,
Emergency,Inpatient,Log normal,logmean = -0.140,logsd = 1.89,,"0.176 (0.173, 0.178)","0.87 (0.67, 1.17)","0.24 (0.18, 0.34)","3.11 (2.34, 4.27)"
Emergency,Ventilation,Exponential,rate = 9.98,,,"0.001 (0.000, 0.008)","0.07 (0.01, 0.49)","0.03 (0, 0.18)","0.14 (0.02, 0.85)"
Emergency,Death,Exponential,rate = 0.0517,,,"0.007 (0.003, 0.015)","13.40 (6.02, 28.53)","5.56 (2.44, 11.73)","26.8 (11.73, 56.55)"
Inpatient,Ventilation,Gamma,shape = 0.562,rate = 0.0858,,"0.074 (0.055, 0.100)","3.28 (1.87, 5.30)","0.84 (0.34, 1.74)","8.81 (5.96, 13.23)"
Inpatient,Death,Gompertz,shape = 0.0337,rate = 0.0266,,"0.035 (0.021, 0.054)","18.68 (11.35, 26.37)","9.21 (4.8, 15.68)","30.06 (21.22, 38.01)"
Ventilation,Death,Exponential,rate = 0.058,,,"0.200 (0.100, 0.371)","11.96 (5.77, 22.86)","4.96 (2.43, 10.48)","23.91 (11.71, 50.51)"
